g^4,gamma,D(p),error,p
0.0,1.0,0.1663293772662825,0.0422262817106836,2.552544031041707
0.0,1.0,0.316821463397393,0.0442680231210507,2.748893571891069
0.0,1.0,0.4274539179706597,0.0358593446411189,2.945243112740431
0.0,1.0,0.4241461928195634,0.0561225284247989,3.141592653589793
0.0,1.0,0.51163951287961,0.0433210886983897,3.3379421944391554
0.0,1.0,0.3331038515599666,0.0460425941994111,3.5342917352885173
0.0,1.0,0.2528328013791069,0.0408105473279944,3.730641276137879
0.0,1.0,0.0090145359827691,0.047099196768061,3.9269908169872414
0.0,1.0,-0.2353474888067741,0.0418865665873087,4.123340357836604
0.0,1.0,-0.3567730077013407,0.0435310881993429,4.319689898685965
0.0,1.0,-0.3301508190051522,0.0478703191370867,4.516039439535327
0.0,1.0,-0.4593714242515305,0.0443627953936449,4.71238898038469
0.0,1.0,-0.3876138276394087,0.0458822021859527,4.908738521234052
0.0,1.0,-0.30920403261327,0.0423428043013842,5.105088062083414
0.0,1.0,-0.1285435024699579,0.0403889871358333,5.301437602932776
0.0,1.0,0.0330473286983517,0.0379371257866492,5.497787143782138
0.0,1.0,0.1324393428894932,0.035749323279728,5.6941366846315
0.0,1.0,0.3163139931500098,0.0463386815032023,5.890486225480862
0.0,1.0,0.4915741230488715,0.0417037737018542,6.086835766330224
0.5,1.0,0.6138375658195949,0.011321135140447048,0.0
0.5,1.0,0.390883374596287,0.007080749768036127,0.7853981633974483
0.5,1.0,0.21071766457323338,0.004612449092822941,1.5707963267948966
0.5,1.0,0.1442821007797797,0.00415104539917668,2.356194490192345
0.5,1.0,0.12489899216391055,0.005081023737109024,3.141592653589793
0.5,1.0,0.14411596157135517,0.003259941537091058,3.9269908169872414
0.5,1.0,0.20805673966559712,0.005545372532979187,4.71238898038469
0.5,1.0,0.3888954427571381,0.006747218602761434,5.497787143782138
